,Label,Text,ppData
12,1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT You 1 week FREE membership 100 000 Prize Jackpot Txt word CLAIM No 81010 T C www dbuk net LCCLTD POBOX 4403LDNW1A7RW18
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I search right word thank breather I promise wont take help grant fulfil promise You wonderful blessing time
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub To use credit click WAP link next txt message click http wap xxxmobilemovieclub com n QJKGIGHJJGCBL
16,0,Oh k...i'm watching here:),Oh k watching
17,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember 2 spell name Yes He v naughty make v wet
18,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,Fine way u feel That way gota b
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",England v Macedonia dont miss goal team news Txt ur national team 87077 eg ENGLAND 87077 Try WALES SCOTLAND 4txt 1 20 POBOXox36504W45WQ 16
20,0,Is that seriously how you spell his name?,Is seriously spell name
21,0,IÛ÷m going to try for 2 months ha ha only joking,I go try 2 month ha ha joke
22,0,So Ì_ pay first lar... Then when is da stock comin...,So pay first lar Then da stock comin
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft finish lunch go str lor Ard 3 smth lor U finish ur lunch already
24,0,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff Alright way I meet sooner
25,0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just force eat slice I really hungry tho This suck Mark get worry He know I sick I turn pizza Lol
26,0,Lol your always so convincing.,Lol always convincing
27,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did catch bus Are fry egg Did make tea Are eat mom leave dinner Do feel Love
28,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",I back amp pack car I let know room
29,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh Work I vaguely remember What feel like Lol
30,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Wait still clear sure sarcastic x want live u
31,0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah get 2 v apologetic n fall actin like spoilt child get catch Till 2 But go Not badly cheer You
32,0,K tell me anything about you.,K tell anything
33,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear faint housework Quick cuppa
34,1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks subscription Ringtone UK mobile charge 5 month Please confirm reply YES NO If reply NO charge
35,0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup Ok go home look timing msg Xuhui go learn 2nd may lesson 8am
36,0,"Oops, I'll let you know when my roommate's done",Oops I let know roommate do
37,0,I see the letter B on my car,I see letter B car
38,0,Anything lor... U decide...,Anything lor U decide
39,0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello How saturday go I texting see decide anything tomo Not try invite anything
40,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead watts I want sure Do great weekend Abiola
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",Did I forget tell I want I need I crave But I love sweet Arabian steed Mmmmmm Yummy
42,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 Rodger Burns MSG We try call reply sm free nokia mobile free camcorder Please call 08000930705 delivery tomorrow
43,0,WHO ARE YOU SEEING?,WHO ARE YOU SEEING
44,0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Great I hope like man well endow I lt gt inch
45,0,No calls..messages..missed calls,No call message miss call
46,0,Didn't you get hep b immunisation in nigeria.,Didn get hep b immunisation nigeria
47,0,"Fair enough, anything going on?",Fair enough anything go
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",Yeah hopefully tyler I could maybe ask around bit
49,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,U know stubborn I I even want go hospital I keep tell Mark I weak sucker Hospitals weak sucker
50,0,What you thinked about me. First time you saw me in class.,What think First time saw class
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",A gram usually run like lt gt half eighth smart though get almost whole second gram lt gt
52,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x ride early tomorrow morning crash place tonight
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",Wow I never realize embarassed accomodations I think like since best could always seem happy cave I sorry I give I sorry offer I sorry room embarassing
54,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS ac Sptv The New Jersey Devils Detroit Red Wings play Ice Hockey Correct Incorrect End Reply END SPTV
55,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Do know Mallika Sherawat yesterday Find lt URL gt
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",Congrats 1 year special cinema pas 2 call 09061209465 C Suprman V Matrix3 StarWars3 etc 4 FREE bx420 ip4 5we 150pm Dont miss
57,0,"Sorry, I'll call later in meeting.",Sorry I call later meeting
58,0,Tell where you reached,Tell reach
59,0,Yes..gauti and sehwag out of odi series.,Yes gauti sehwag odi series
60,0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Your gon na pick 1 burger way home I even move Pain kill
61,0,Ha ha ha good joke. Girls are situation seekers.,Ha ha ha good joke Girls situation seeker
62,0,Its a part of checking IQ,Its part check IQ
63,0,"Sorry my roommates took forever, it ok if I come by now?",Sorry roommate take forever ok I come
64,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar double check wif da hair dresser already say wun cut v short He say cut look nice
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",As value customer I pleased advise follow recent review Mob No award 1500 Bonus Prize call 09066364589
66,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",Today song dedicate day Which song u dedicate Send ur valuable frnds first rply
67,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Urgent UR award complimentary trip EuroDisinc Trav Aco Entry41 Or 1000 To claim txt DIS 87121 18 6 1 50 moreFrmMob ShrAcomOrSglSuplt 10 LS1 3AJ
68,1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",Did hear new Divorce Barbie It come Ken stuff
69,0,I plane to give on this month end.,I plane give month end
70,0,Wah lucky man... Then can save money... Hee...,Wah lucky man Then save money Hee
71,0,Finished class where are you.,Finished class
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE IM AT HOME NOW WAN NA DO SOMETHING XX
73,0,K..k:)where are you?how did you performed?,K k perform
74,0,U can call me now...,U call
75,0,I am waiting machan. Call me once you free.,I wait machan Call free
76,0,Thats cool. i am a gentleman and will treat you with dignity and respect.,Thats cool gentleman treat dignity respect
77,0,I like you peoples very much:) but am very shy pa.,I like people much shy pa
78,0,Does not operate after  &lt;#&gt;  or what,Does operate lt gt
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.,Its Still look job How much Ta earn
80,0,"Sorry, I'll call later",Sorry I call later
81,0,K. Did you call me just now ah? ,K Did call ah
82,0,Ok i am on the way to home hi hi,Ok way home hi hi
83,0,You will be in the place of that man,You place man
84,0,Yup next stop.,Yup next stop
85,0,"I call you later, don't have network. If urgnt, sms me.",I call later network If urgnt sm
86,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,For real u get yo I need 2 ticket one jacket I do I already use multis
87,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Yes I start send request make pain come back I back bed Double coin factory I get ta cash nitros
88,0,I'm really not up to it still tonight babe,I really still tonight babe
89,0,"Ela kano.,il download, come wen ur free..",Ela kano il download come wen ur free
90,0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,Yeah Don stand close tho catch something
91,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Sorry pain Is ok meet another night I spend late afternoon casualty mean do stuff42moro include time sheet Sorry
92,0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Smile Pleasure Smile Pain Smile trouble pours like Rain Smile sum1 Hurts U Smile becoz SOMEONE still Loves see u Smiling
93,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,Please call customer service representative 0800 169 6031 10am 9pm WON guaranteed 1000 cash 5000 prize
94,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Havent planning buy later I check already lido get 530 show e afternoon U finish work already
95,1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",Your free ringtone wait collect Simply text password MIX 85069 verify Get Usher Britney FML
96,0,Watching telugu movie..wat abt u?,Watching telugu movie wat abt u
97,0,i see. When we finish we have loads of loans to pay,see When finish load loan pay
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",Hi Wk ok hols Yes bit run Forgot hairdresser appointment four need get home n shower beforehand Does cause prob u ham
99,0,Please don't text me anymore. I have nothing else to say.,Please text anymore I nothing else say
100,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Okay name ur price long legal Wen I pick Y u ave x am xx
101,0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,I still look car buy And go 4the drive test yet
102,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friend Callertune
103,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow You right I mean I guess give boston men change search location nyc something change Cuz signin page still say boston
104,0,Umma my life and vava umma love you lot dear,Umma life vava umma love lot dear
105,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Thanks lot wish birthday Thanks make birthday truly memorable
106,0,"Aight, I'll hit you up when I get some cash",Aight I hit I get cash
107,0,How would my ip address test that considering my computer isn't a minecraft server,How would ip address test consider computer minecraft server
108,0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,I know Grumpy old people My mom like good lie Then I always one play joke
109,0,Dont worry. I guess he's busy.,Dont worry I guess busy
110,0,What is the plural of the noun research?,What plural noun research
111,0,Going for dinner.msg you after.,Going dinner msg
112,0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,I ok wif cos like 2 try new thing But scar u dun like mah Cos u say loud
113,1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT We try contact Last weekend draw show 1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs 150ppm
114,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Wa ur openin sentence formal Anyway fine juz tt eatin much n puttin weight Haha So anythin special happen
115,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",As I enter cabin PA say Happy B day Boss I felt special She askd 4 lunch After lunch invite apartment We go
116,1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,You winner U specially select 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910p min 18
117,0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Goodo Yes must speak friday egg potato ratio tortilla need
118,0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Hmm uncle inform pay school directly So pls buy food
119,1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE Your 2004 Account Statement 07742676969 show 786 unredeemed Bonus Points To claim call 08719180248 Identifier Code 45239 Expires
120,1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",URGENT Your Mobile No award 2000 Bonus Caller Prize 5 9 03 This final try contact U Call Landline 09064019788 BOX42WR29C 150PPM
121,0,here is my new address -apples&pairs&all that malarky,new address apple pair malarky
122,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda number end 7548 select receive 350 award If match please call 08712300220 quote claim code 4041 standard rate app
123,0,I am going to sao mu today. Will be done only at 12 ,I go sao mu today Will do 12
124,0,ÌÏ predict wat time Ì_'ll finish buying?,predict wat time finish buying
125,0,"Good stuff, will do.",Good stuff
126,0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",Just know yetunde send money yet I send text bother send So dont involve anything I impose anything first place apologise
127,0,Are you there in room.,Are room
128,0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,HEY GIRL HOW R U HOPE U R WELL ME AN DEL R BAK AGAIN LONG TIME NO C GIVE ME A CALL SUM TIME FROM LUCYxx
129,0,K..k:)how much does it cost?,K k much cost
130,0,I'm home.,I home
131,0,"Dear, will call Tmorrow.pls accomodate.",Dear call Tmorrow pls accomodate
132,0,First answer my question.,First answer question
133,1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,Sunshine Quiz Wkly Q Win top Sony DVD player u know country Algarve Txt ansr 82277 1 50 SP Tyrone
134,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Want 2 get lay tonight Want real Dogging location send direct 2 ur mob Join UK large Dogging Network bt Txting GRAVEL 69888 Nt ec2a 31p msg 150p
135,0,I only haf msn. It's yijue@hotmail.com,I haf msn It yijue hotmail com
136,0,He is there. You call and meet him,He You call meet
137,0,No no. I will check all rooms befor activities,No I check room befor activity
138,1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You rcv msg chat svc For FREE Hardcore service text GO 69988 If u get nothing u must Age Verify yr network try
139,0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,Got c I lazy type I forget lect I saw pouch like v nice
140,0,"K, text me when you're on the way",K text way
141,0,"Sir, Waiting for your mail.",Sir Waiting mail
142,0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",A swt think Nver get tire little thing 4 lovable person Coz somtimes little thing occupy big part Hearts Gud ni8
143,0,I know you are. Can you pls open the back?,I know Can pls open back
144,0,Yes see ya not on the dot,Yes see ya dot
145,0,Whats the staff name who is taking class for us?,Whats staff name take class u
146,1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",FreeMsg Why reply text I Randy sexy female live local Luv hear u Netcollex Ltd 08700621170150p per msg reply Stop end
147,0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Ummma call check life begin qatar pls pray hard
148,0,K..i deleted my contact that why?,K delete contact
149,0,Sindu got job in birla soft ..,Sindu get job birla soft
150,0,The wine is flowing and i'm i have nevering..,The wine flow nevering
151,0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Yup thk cine well co need 2 go 2 plaza mah
152,0,Ok... Ur typical reply...,Ok Ur typical reply
153,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friend Callertune
154,0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",You everywhere dirt floor window even shirt And sometimes open mouth come flow I dream world without half chore A time joy lot tv show see But guess like thing must exist like rain hail mist time do become one
155,0,Aaooooright are you at work?,Aaooooright work
156,0,I'm leaving my house now...,I leave house
157,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",Hello love What Did get interview today Are happy Are good boy Do think Are miss
158,1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Customer service annoncement You New Years delivery wait Please call 07046744435 arrange delivery
159,1,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,You winner U specially select 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
160,0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Keep safe I need I miss already I envy everyone see real life
161,0,New car and house for my parents.:)i have only new job in hand:),New car house parent new job hand
162,0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,I love I excited day spend You make happy
163,1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,PLS STOP bootydelious 32 F invite friend Reply YES 434 NO 434 See www SMS ac u bootydelious STOP Send STOP FRND 62468
164,1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",BangBabes Ur order way U SHOULD receive Service Msg 2 download UR content If U GoTo wap bangb tv UR mobile internet service menu
165,0,I place all ur points on e cultures module already.,I place ur point e culture module already
166,1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,URGENT We try contact Last weekend draw show 900 prize GUARANTEED Call 09061701939 Claim code S89 Valid 12hrs
167,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Hi frnd best way avoid missunderstding wit beloved one
168,0,Great escape. I fancy the bridge but needs her lager. See you tomo ,Great escape I fancy bridge need lager See tomo
169,0,Yes :)it completely in out of form:)clark also utter waste.,Yes completely form clark also utter waste
170,0,"Sir, I need AXIS BANK account no and bank address.",Sir I need AXIS BANK account bank address
171,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",Hmmm Thk sure get time hop ard Ya go 4 free abt Muz call u discuss liao
172,0,What time you coming down later? ,What time come later
173,0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",Bloody hell cant believe forget surname Mr Ill give u clue spanish begin
174,0,"Well, i'm gonna finish my bath now. Have a good...fine night.",Well gon na finish bath Have good fine night
175,0,Let me know when you've got the money so carlos can make the call,Let know get money carlos make call
176,0,U still going to the mall?,U still go mall
177,0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",Turns friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
178,0,Text her. If she doesnt reply let me know so i can have her log in,Text If doesnt reply let know log
179,0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi You speak MANEESHA V We like know satisfy experience Reply Toll Free Yes No
180,0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,You lift hope offer money I need Especially end month approach hurt study Anyways gr8 weekend
181,0,Lol no. U can trust me.,Lol U trust
182,0,ok. I am a gentleman and will treat you with dignity and respect.,ok I gentleman treat dignity respect
183,0,"He will, you guys close?",He guy close
184,0,Going on nothing great.bye,Going nothing great bye
185,0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,Hello handsome Are find job Not lazy Working towards get back net mummy Where boytoy Does miss
186,0,"Haha awesome, be there in a minute",Haha awesome minute
187,1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,Please call customer service representative FREEPHONE 0808 145 4742 9am 11pm WON guaranteed 1000 cash 5000 prize
188,0,Have you got Xmas radio times. If not i will get it now,Have get Xmas radio time If get
189,0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,I jus reach home I go bathe first But si use net tell u finish k
190,1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,Are unique enough Find 30th August www areyouunique co uk
191,0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,I sorry I join league people dont keep touch You mean great deal You friend time even great personal cost Do great week
192,0,Hi :)finally i completed the course:),Hi finally complete course
193,0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,It stop I however suggest stay someone able give or every stool
194,0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,How Hope settle new school year Just wishin gr8 day
195,0,Gud mrng dear hav a nice day,Gud mrng dear hav nice day
196,0,Did u got that persons story,Did u get person story
197,0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead Hey tmr meet 1pm orchard mrt
198,0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,Hi Kate even I hope see tomorrow bit bloody babyjontet Txt back u xxx
199,0,"Found it, ENC  &lt;#&gt; , where you at?",Found ENC lt gt
200,0,I sent you  &lt;#&gt;  bucks,I send lt gt buck
201,0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Hello darlin ive finish college txt u finish u love Kate xxx
202,0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Your account refill successfully INR lt DECIMAL gt Your KeralaCircle prepaid account balance Rs lt DECIMAL gt Your Transaction ID KR lt gt
203,0,Goodmorning sleeping ga.,Goodmorning sleep ga
204,0,U call me alter at 11 ok.,U call alter 11 ok
205,0,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,say like dat dun buy ericsson oso oredi lar
206,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",As I enter cabin PA say Happy B day Boss I felt special She askd 4 lunch After lunch invite apartment We go
207,0,"Aight yo, dats straight dogg",Aight yo dats straight dogg
208,0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,You please give u connection today lt DECIMAL gt refund bill
209,0,Both :) i shoot big loads so get ready!,Both shoot big load get ready
210,0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",What bruv hope great break Do rewarding semester
211,0,Home so we can always chat,Home always chat
212,0,K:)k:)good:)study well.,K k good study well
213,0,Yup... How Ì_ noe leh...,Yup How noe leh
214,0,Sounds great! Are you home now?,Sounds great Are home
215,0,Finally the match heading towards draw as your prediction.,Finally match heading towards draw prediction
216,0,Tired. I haven't slept well the past few nights.,Tired I slept well past night
217,0,Easy ah?sen got selected means its good..,Easy ah sen get select mean good
218,0,I have to take exam with march 3,I take exam march 3
219,0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,Yeah I think use gt atm register Not sure anyway help let know But sure ready
220,0,Ok no prob. Take ur time.,Ok prob Take ur time
221,0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,There os call ubandu run without instal hard disk use o copy important file system give repair shop
222,0,"Sorry, I'll call later",Sorry I call later
